canonical_title,split,year,midi_filename,duration,tempo
"3 Etudes, Op. 65",validation,2006,2006/MIDI-Unprocessed_17_R1_2006_01-06_ORIG_MID--AUDIO_17_R1_2006_04_Track04_wav.midi,397.857508125,204.54545454545385
"5 Preludes, Op.15",validation,2009,2009/MIDI-Unprocessed_07_R1_2009_04-05_ORIG_MID--AUDIO_07_R1_2009_07_R1_2009_04_WAV.midi,400.557825938,199.02101929167657
"Etude Op. 8, No. 13",validation,2009,2009/MIDI-Unprocessed_02_R1_2009_03-06_ORIG_MID--AUDIO_02_R1_2009_02_R1_2009_05_WAV.midi,167.085837188,214.3654633420164
"Fragilite, Op.51",validation,2009,2009/MIDI-Unprocessed_11_R1_2009_06-09_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_06_WAV.midi,138.421335938,209.8881987577638
"Sonata No. 4 in F-sharp Major ,Op.30",validation,2013,2013/ORIG-MIDI_01_7_6_13_Group__MID--AUDIO_03_R1_2013_wav--4.midi,440.110403906,208.77129394708447
"Two Impromptus, Op. 14 (Complete)",validation,2014,2014/MIDI-UNPROCESSED_14-15_R1_2014_MID--AUDIO_15_R1_2014_wav--3.midi,365.655350156,201.39860139859627
"Waltz, Op. 38",validation,2014,2014/MIDI-UNPROCESSED_14-15_R1_2014_MID--AUDIO_15_R1_2014_wav--4.midi,319.910203594,207.99699078427687
Prel./Chor./Fug.,validation,2006,2006/MIDI-Unprocessed_22_R1_2006_01-04_ORIG_MID--AUDIO_22_R1_2006_02_Track02_wav.midi,1188.161205,214.84793896365835
"Prelude, Choral et Fugue",validation,2018,2018/MIDI-Unprocessed_Recital8_MID--AUDIO_08_R1_2018_wav--2.midi,1054.57827234,210.5611880622607
"Prelude, Choral et Fugue",validation,2018,2018/MIDI-Unprocessed_Recital9-11_MID--AUDIO_10_R1_2018_wav--5.midi,1021.9006875,195.44014541677302
Etude in A Minor,validation,2008,2008/MIDI-Unprocessed_02_R1_2008_01-05_ORIG_MID--AUDIO_02_R1_2008_wav--3.midi,76.0442615625,NaN
"Rondo Capriccioso in E Minor, Op. 14",validation,2013,2013/ORIG-MIDI_02_7_6_13_Group__MID--AUDIO_06_R1_2013_wav--4.midi,362.836175625,NaN
"Rondo Capriccioso in E Minor, Op. 14",validation,2011,2011/MIDI-Unprocessed_16_R1_2011_MID--AUDIO_R1-D6_15_Track15_wav.midi,359.457439688,NaN
Funerailles,validation,2006,2006/MIDI-Unprocessed_09_R1_2006_01-04_ORIG_MID--AUDIO_09_R1_2006_01_Track01_wav.midi,697.635520313,NaN
Funerailles,validation,2008,2008/MIDI-Unprocessed_15_R2_2008_01-04_ORIG_MID--AUDIO_15_R2_2008_wav--4.midi,630.147607031,NaN
Hungarian Rhapsody,validation,2009,2009/MIDI-Unprocessed_12_R1_2009_03-05_ORIG_MID--AUDIO_12_R1_2009_12_R1_2009_05_WAV.midi,608.523697031,NaN
"Hungarian Rhapsody No. 12, S. 244/12",validation,2011,2011/MIDI-Unprocessed_03_R1_2011_MID--AUDIO_R1-D1_19_Track19_wav.midi,566.314871719,NaN
Hungarian Rhapsody No. 13 (arr. Volodos),validation,2013,2013/ORIG-MIDI_02_7_8_13_Group__MID--AUDIO_14_R2_2013_wav--4.midi,421.862558906,NaN
"Hungarian Rhapsody No. 13, S. 244/13",validation,2011,2011/MIDI-Unprocessed_10_R1_2011_MID--AUDIO_R1-D4_05_Track05_wav.midi,507.39666140599996,NaN
Hungarian Rhapsody No. 15 in A Minor,validation,2013,2013/ORIG-MIDI_01_7_8_13_Group__MID--AUDIO_02_R2_2013_wav--5.midi,313.966032187,NaN
"Hungarian Rhapsody No. 2 in C-sharp Minor, S. 244/2",validation,2015,2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_03_R1_2015_wav--4.midi,539.083333333,NaN
"Hungarian Rhapsody, No. 12",validation,2004,2004/MIDI-Unprocessed_XP_11_R1_2004_03-04_ORIG_MID--AUDIO_11_R1_2004_04_Track04_wav.midi,569.2045174230001,NaN
Sonetto 123 del Petrarca,validation,2009,2009/MIDI-Unprocessed_04_R1_2009_04-06_ORIG_MID--AUDIO_04_R1_2009_04_R1_2009_04_WAV.midi,412.51160671900004,NaN
"Tarantelle di Bravura, S. 386",validation,2009,2009/MIDI-Unprocessed_16_R1_2009_03-06_ORIG_MID--AUDIO_16_R1_2009_16_R1_2009_03_WAV.midi,626.159897344,NaN
"Transcendental Etude No. 1 ""Prelude""",validation,2008,2008/MIDI-Unprocessed_04_R3_2008_01-07_ORIG_MID--AUDIO_04_R3_2008_wav--2.midi,53.936911875,NaN
"Transcendental Etude No. 1, “Preludio""",validation,2015,2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_06_R1_2015_wav--3.midi,45.1552083333,NaN
"Transcendental Etude No. 12 ""Chasse-neige""",validation,2018,2018/MIDI-Unprocessed_Recital9-11_MID--AUDIO_09_R1_2018_wav--4.midi,269.271899531,NaN
"Transcendental Etude No. 12 ""Chasse-neige""",validation,2008,2008/MIDI-Unprocessed_07_R1_2008_01-04_ORIG_MID--AUDIO_07_R1_2008_wav--3.midi,257.133824063,NaN
"Transcendental Etude No. 9, 'Ricordanza'",validation,2004,2004/MIDI-Unprocessed_XP_01_R1_2004_04-05_ORIG_MID--AUDIO_01_R1_2004_05_Track05_wav.midi,510.89592875,NaN
"Valse-Impromptu, S. 213",validation,2015,2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_05_R1_2015_wav--1.midi,342.2875,NaN
"Études d'exécution transcendante, No. 12, ""Chasse-Neige"" S.139/12",validation,2017,2017/MIDI-Unprocessed_055_PIANO055_MID--AUDIO-split_07-07-17_Piano-e_1-04_wav--3.midi,270.732647762,NaN
Hungarian Rhapsody No. 15 (Horowitz edition),validation,2008,2008/MIDI-Unprocessed_09_R3_2008_01-07_ORIG_MID--AUDIO_09_R3_2008_wav--7.midi,308.576080313,NaN
Hungarian Rhapsody No. 2 (Horowitz Edition),validation,2008,2008/MIDI-Unprocessed_09_R2_2008_01-05_ORIG_MID--AUDIO_09_R2_2008_wav--5.midi,529.54006875,NaN
"""Der Mueller und der Bach""",validation,2009,2009/MIDI-Unprocessed_08_R1_2009_01-04_ORIG_MID--AUDIO_08_R1_2009_08_R1_2009_02_WAV.midi,336.37920421900003,NaN
Moment Musical Op. 94 No. 1 in C Major,validation,2015,2015/MIDI-Unprocessed_R2_D2-12-13-15_mid--AUDIO-from_mp3_12_R2_2015_wav--2.midi,351.030208333,NaN
"Moment Musicaux in F Minor, Op. 94 No. 3",validation,2008,2008/MIDI-Unprocessed_15_R2_2008_01-04_ORIG_MID--AUDIO_15_R2_2008_wav--2.midi,106.156410937,NaN
"Sonata in C Major, D842",validation,2009,2009/MIDI-Unprocessed_16_R2_2009_01_ORIG_MID--AUDIO_16_R2_2009_16_R2_2009_03_WAV.midi,312.578480156,NaN
Der Mueller und der Bach,validation,2018,2018/MIDI-Unprocessed_Recital9-11_MID--AUDIO_09_R1_2018_wav--3.midi,301.624965469,NaN
Berceuse Op. 57,validation,2008,2008/MIDI-Unprocessed_14_R1_2008_01-05_ORIG_MID--AUDIO_14_R1_2008_wav--4.midi,261.343221562,NaN
Berceuse Op. 57 in D-flat Major,validation,2017,2017/MIDI-Unprocessed_083_PIANO083_MID--AUDIO-split_07-09-17_Piano-e_2_-06_wav--5.midi,265.09378650400004,NaN
"Berceuse in D-Flat Major, Op. 57",validation,2014,2014/MIDI-UNPROCESSED_04-05_R1_2014_MID--AUDIO_05_R1_2014_wav--4.midi,256.01470125,NaN
"Berceuse, Op. 57",validation,2015,2015/MIDI-Unprocessed_R1_D1-9-12_mid--AUDIO-from_mp3_09_R1_2015_wav--4.midi,273.486458333,NaN
"Berceuse, Op. 57",validation,2011,2011/MIDI-Unprocessed_25_R3_2011_MID--AUDIO_R3-D9_05_Track05_wav.midi,293.0552625,NaN
Etude Op. 10 No. 5 in G-flat Major,validation,2017,2017/MIDI-Unprocessed_058_PIANO058_MID--AUDIO-split_07-07-17_Piano-e_2-02_wav--2.midi,95.57645475,NaN
Etude Op. 10 No. 5 in G-flat Major,validation,2017,2017/MIDI-Unprocessed_060_PIANO060_MID--AUDIO-split_07-07-17_Piano-e_2-04_wav--3.midi,92.236727525,NaN
Etude Op. 10 No. 5 in G-flat Major,validation,2017,2017/MIDI-Unprocessed_062_PIANO062_MID--AUDIO-split_07-07-17_Piano-e_2-07_wav--3.midi,98.7099864042,NaN
"Fantasie in F Minor, Op. 49",validation,2017,2017/MIDI-Unprocessed_061_PIANO061_MID--AUDIO-split_07-07-17_Piano-e_2-05_wav--3.midi,715.3266230869999,NaN
"Fantasy in F Minor, Op.49",validation,2009,2009/MIDI-Unprocessed_06_R1_2009_03-07_ORIG_MID--AUDIO_06_R1_2009_06_R1_2009_06_WAV.midi,766.8702267189999,NaN
Mazurka Op. 6 No. 2 in C-sharp Minor,validation,2011,2011/MIDI-Unprocessed_12_R3_2011_MID--AUDIO_R3-D4_02_Track02_wav.midi,137.62806750000001,NaN
"Mazurka in D Major, Op. 33, No. 2",validation,2008,2008/MIDI-Unprocessed_07_R2_2008_01-05_ORIG_MID--AUDIO_07_R2_2008_wav--3.midi,124.491061406,NaN
"Mazurka in F Minor, Op. 7, No. 3",validation,2014,2014/MIDI-UNPROCESSED_04-05_R1_2014_MID--AUDIO_05_R1_2014_wav--5.midi,121.51964343700001,NaN
"Mazurka in G-sharp Minor, Op. 33, No. 1",validation,2008,2008/MIDI-Unprocessed_07_R2_2008_01-05_ORIG_MID--AUDIO_07_R2_2008_wav--2.midi,94.3936021875,NaN
"Mazurkas, Op. 17 (Complete)",validation,2014,2014/MIDI-UNPROCESSED_04-08-12_R3_2014_MID--AUDIO_12_R3_2014_wav--2.midi,775.889982656,NaN
Nocturne Op. 27 No. 2 in D-flat Major,validation,2015,2015/MIDI-Unprocessed_R1_D2-21-22_mid--AUDIO-from_mp3_22_R1_2015_wav--4.midi,351.594791667,NaN
Nocturne Op. 27 No. 2 in D-flat Major,validation,2017,2017/MIDI-Unprocessed_058_PIANO058_MID--AUDIO-split_07-07-17_Piano-e_2-02_wav--4.midi,341.238712538,NaN
Nocturne Op. 32 No. 2 in A-flat Major,validation,2011,2011/MIDI-Unprocessed_02_R2_2011_MID--AUDIO_R2-D1_03_Track03_wav.midi,261.275112656,NaN
Nocturne Op. 48 No. 1 in C Minor,validation,2015,2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_01_R1_2015_wav--2.midi,297.4875,NaN
Nocturne Op. 55 No. 2 in E-flat Major,validation,2015,2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_04_R1_2015_wav--3.midi,278.460416667,NaN
Nocturne Op. 62 No. 1 in B Major,validation,2017,2017/MIDI-Unprocessed_072_PIANO072_MID--AUDIO-split_07-08-17_Piano-e_1-06_wav--3.midi,405.313184896,NaN
"Nocturne Op. 62, No. 2",validation,2009,2009/MIDI-Unprocessed_06_R1_2009_03-07_ORIG_MID--AUDIO_06_R1_2009_06_R1_2009_05_WAV.midi,371.021263594,NaN
Nocturne Op. 9 No. 2 in E-flat Major,validation,2011,2011/MIDI-Unprocessed_06_R3_2011_MID--AUDIO_R3-D3_05_Track05_wav.midi,220.688881875,NaN
"Nocturne in C Minor, Op. 48 No. 1",validation,2008,2008/MIDI-Unprocessed_16_R1_2008_01-04_ORIG_MID--AUDIO_16_R1_2008_wav--3.midi,295.043775469,NaN
Nocturne in Db,validation,2006,2006/MIDI-Unprocessed_19_R1_2006_01-07_ORIG_MID--AUDIO_19_R1_2006_06_Track06_wav.midi,423.666777187,NaN
Nocturne in Db,validation,2006,2006/MIDI-Unprocessed_19_R1_2006_01-07_ORIG_MID--AUDIO_19_R1_2006_07_Track07_wav.midi,355.499110313,NaN
"Nocturne in E-flat Major, Op. 55 No. 2",validation,2013,2013/ORIG-MIDI_03_7_8_13_Group__MID--AUDIO_18_R2_2013_wav--3.midi,278.441227969,NaN
"Scherzo No. 1 in B Minor, Op. 20",validation,2011,2011/MIDI-Unprocessed_01_R1_2011_MID--AUDIO_R1-D1_06_Track06_wav.midi,506.0037675,NaN
"Scherzo No. 1 in B Minor, Op. 20",validation,2011,2011/MIDI-Unprocessed_07_R1_2011_MID--AUDIO_R1-D3_05_Track05_wav.midi,527.487453281,NaN
"Scherzo No. 1 in B minor, Op. 20",validation,2013,2013/ORIG-MIDI_03_7_6_13_Group__MID--AUDIO_10_R1_2013_wav--4.midi,555.1917525,NaN
"Variations and Fugue in E-flat Major, Op. 35, ""Eroica""",validation,2009,2009/MIDI-Unprocessed_07_R1_2009_01-03_ORIG_MID--AUDIO_07_R1_2009_07_R1_2009_02_WAV.midi,1424.93313703,NaN
"Prelude and Fugue in B Major, WTC I, BWV 868",validation,2014,2014/MIDI-UNPROCESSED_01-03_R1_2014_MID--AUDIO_03_R1_2014_wav--2.midi,188.69772796900003,NaN
"Prelude and Fugue in C-Sharp Minor, WTC I, BWV 849",validation,2014,2014/MIDI-UNPROCESSED_01-03_R1_2014_MID--AUDIO_02_R1_2014_wav--1.midi,328.45052625,NaN
"Prelude and Fugue in C-sharp Minor, Book I, BWV 849",validation,2018,2018/MIDI-Unprocessed_Recital4_MID--AUDIO_04_R1_2018_wav--1.midi,454.246340625,NaN
"Prelude and Fugue in C-sharp Minor, WTC I",validation,2008,2008/MIDI-Unprocessed_17_R1_2008_01-04_ORIG_MID--AUDIO_17_R1_2008_wav--1.midi,322.878950625,NaN
"Prelude and Fugue in C-sharp Minor, WTC I, BWV 849",validation,2017,2017/MIDI-Unprocessed_044_PIANO044_MID--AUDIO-split_07-06-17_Piano-e_1-04_wav--1.midi,439.36964195,NaN
"Prelude and Fugue in D Minor, Book II",validation,2004,2004/MIDI-Unprocessed_XP_09_R1_2004_01-02_ORIG_MID--AUDIO_09_R1_2004_01_Track01_wav.midi,203.718416123,NaN
"Prelude and Fugue in D Minor, WTC II,  BWV 875",validation,2011,2011/MIDI-Unprocessed_14_R1_2011_MID--AUDIO_R1-D6_02_Track02_wav.midi,228.76045499999998,NaN
"Prelude and Fugue in D Minor, WTC II, BWV 875",validation,2013,2013/ORIG-MIDI_01_7_7_13_Group__MID--AUDIO_14_R1_2013_wav--1.midi,213.624252187,NaN
"Prelude and Fugue in D Minor, WTC II, BWV 875",validation,2017,2017/MIDI-Unprocessed_065_PIANO065_MID--AUDIO-split_07-07-17_Piano-e_3-01_wav--1.midi,208.59299498299998,NaN
"Prelude and Fugue in F-sharp Minor, WTC II",validation,2008,2008/MIDI-Unprocessed_05_R1_2008_01-04_ORIG_MID--AUDIO_05_R1_2008_wav--1.midi,437.084231719,NaN
"Prelude and Fugue in F-sharp Minor, WTC II , BWV 883",validation,2015,2015/MIDI-Unprocessed_R1_D1-9-12_mid--AUDIO-from_mp3_10_R1_2015_wav--1.midi,348.58020833300003,NaN
"Prelude and Fugue in F-sharp Minor, WTC II, BWV 883",validation,2013,2013/ORIG-MIDI_02_7_6_13_Group__MID--AUDIO_06_R1_2013_wav--2.midi,401.079994219,NaN
"Prelude and Fugue in F-sharp Minor, WTC II, BWV 883",validation,2017,2017/MIDI-Unprocessed_043_PIANO043_MID--AUDIO-split_07-06-17_Piano-e_1-03_wav--1.midi,385.827169267,NaN
"Prelude and Fugue in F-sharp Minor, WTC II, BWV 883",validation,2017,2017/MIDI-Unprocessed_050_PIANO050_MID--AUDIO-split_07-06-17_Piano-e_3-01_wav--1.midi,449.358909242,NaN
"16 Waltzes, Op. 39",validation,2004,2004/MIDI-Unprocessed_XP_14_R1_2004_01-03_ORIG_MID--AUDIO_14_R1_2004_03_Track03_wav.midi,1064.85903814,NaN
Intermezzos Op. 119,validation,2018,2018/MIDI-Unprocessed_Chamber3_MID--AUDIO_10_R3_2018_wav--2.midi,834.47566125,NaN
Rhapsody Op. 79 No. 1 in B minor,validation,2015,2015/MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_14_R1_2015_wav--3.midi,551.766666667,NaN
Sonata No. 1,validation,2006,2006/MIDI-Unprocessed_19_R1_2006_01-07_ORIG_MID--AUDIO_19_R1_2006_03_Track03_wav.midi,1673.36504672,NaN
"Sonata No. 1 in C Major, Op. 1",validation,2009,2009/MIDI-Unprocessed_09_R1_2009_05-06_ORIG_MID--AUDIO_09_R1_2009_09_R1_2009_05_WAV.midi,1577.25002531,NaN
Andante w/Var.,validation,2006,2006/MIDI-Unprocessed_08_R1_2006_01-04_ORIG_MID--AUDIO_08_R1_2006_Disk1_02_Track02_wav.midi,558.522411562,NaN
Son. Hob. XVI:39,validation,2006,2006/MIDI-Unprocessed_23_R1_2006_01-05_ORIG_MID--AUDIO_23_R1_2006_02_Track02_wav.midi,830.483945156,NaN
"Sonata in B-flat Major, Hob.XVI:41",validation,2011,2011/MIDI-Unprocessed_03_R3_2011_MID--AUDIO_R3-D1_03_Track03_wav.midi,128.60029875,NaN
"Sonata in D Major, Hob. XVI:24",validation,2004,2004/MIDI-Unprocessed_XP_19_R1_2004_01-02_ORIG_MID--AUDIO_19_R1_2004_01_Track01_wav.midi,208.26006939200002,NaN
"15 Variations and Fugue in Eb on an Original Theme ('Eroica Variations'), Op.35",validation,2004,2004/MIDI-Unprocessed_SMF_13_01_2004_01-05_ORIG_MID--AUDIO_13_R1_2004_05_Track05_wav.midi,1402.55462314,NaN
"Andante favori in F Major, WoO 57",validation,2018,2018/MIDI-Unprocessed_Chamber6_MID--AUDIO_20_R3_2018_wav--1.midi,524.024582813,NaN
"Eroica Variations, Op. 35",validation,2004,2004/MIDI-Unprocessed_XP_10_R1_2004_01-02_ORIG_MID--AUDIO_10_R1_2004_02_Track02_wav.midi,1314.69697633,NaN
"Sonata No. 11 in B-flat Major, Op. 22, I. Allegro con brio",validation,2015,2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_03_R1_2015_wav--3.midi,336.258333333,NaN
"Sonata No. 11 in B-flat Major, Op. 22, I. Allegro con brio",validation,2015,2015/MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_13_R1_2015_wav--2.midi,318.44375,NaN
"Sonata No. 11 in E-flat Major, Op. 22 (Complete)",validation,2014,2014/MIDI-UNPROCESSED_16-18_R1_2014_MID--AUDIO_16_R1_2014_wav--2.midi,1320.41401078,NaN
"Sonata No. 11, Op. 22 in B-flat Major, I. Allegro con brio",validation,2017,2017/MIDI-Unprocessed_058_PIANO058_MID--AUDIO-split_07-07-17_Piano-e_2-02_wav--3.midi,321.794363371,NaN
"Sonata No. 27 in E Minor, Op. 90",validation,2018,2018/MIDI-Unprocessed_Recital4_MID--AUDIO_04_R1_2018_wav--3.midi,760.2770174999999,NaN
"Sonata No. 27 in E Minor, Op. 90, First Movement",validation,2008,2008/MIDI-Unprocessed_07_R1_2008_01-04_ORIG_MID--AUDIO_07_R1_2008_wav--2.midi,308.53601625,NaN
"Sonata No. 27, Op. 90, I. Mit Lebhaftigkeit und durchaus mit Empfindung und Ausdruck",validation,2017,2017/MIDI-Unprocessed_051_PIANO051_MID--AUDIO-split_07-06-17_Piano-e_3-02_wav--2.midi,318.420448279,NaN
"Sonata No. 29 in B-flat Major, Op. 106",validation,2018,2018/MIDI-Unprocessed_Recital1-3_MID--AUDIO_02_R1_2018_wav--1.midi,2457.80737125,NaN
"Variations and Fugue in E-flat Major, Op. 35, ""Eroica""",validation,2009,2009/MIDI-Unprocessed_16_R1_2009_01-02_ORIG_MID--AUDIO_16_R1_2009_16_R1_2009_01_WAV.midi,1530.08260453,NaN
Islamei,validation,2004,2004/MIDI-Unprocessed_XP_04_R1_2004_06_ORIG_MID--AUDIO_04_R1_2004_08_Track08_wav.midi,530.857408325,NaN
Islamey,validation,2006,2006/MIDI-Unprocessed_13_R1_2006_01-06_ORIG_MID--AUDIO_13_R1_2006_05_Track05_wav.midi,491.751645,NaN
"Oriental Fantasy ""Islamey""",validation,2011,2011/MIDI-Unprocessed_21_R1_2011_MID--AUDIO_R1-D8_10_Track10_wav.midi,534.923343281,NaN
"Arabesque, Op. 18",validation,2014,2014/MIDI-UNPROCESSED_01-03_R1_2014_MID--AUDIO_01_R1_2014_wav--5.midi,435.44427609400003,NaN
"Arabesque, Op. 18",validation,2013,2013/ORIG-MIDI_03_7_10_13_Group_MID--AUDIO_15_R3_2013_wav--2.midi,382.695931406,NaN
"Davidsbundlertanze, Op. 6",validation,2004,2004/MIDI-Unprocessed_XP_19_R1_2004_01-02_ORIG_MID--AUDIO_19_R1_2004_03_Track03_wav.midi,2097.17864236,NaN
"Humoresque, Op. 20",validation,2014,2014/MIDI-UNPROCESSED_19-20_R1_2014_MID--AUDIO_20_R1_2014_wav--2.midi,1634.31861141,NaN
"Romances Op. 28, Nos. 2 and 3",validation,2011,2011/MIDI-Unprocessed_23_R3_2011_MID--AUDIO_R3-D8_03_Track03_wav.midi,245.83175203099998,NaN
"Sonata No. 2 in G Minor, Op. 22",validation,2018,2018/MIDI-Unprocessed_Recital4_MID--AUDIO_04_R1_2018_wav--4.midi,976.820604375,NaN
"Sonata No. 2 in G Minor, Op. 22 (Complete)",validation,2014,2014/MIDI-UNPROCESSED_04-05_R1_2014_MID--AUDIO_04_R1_2014_wav--3.midi,1128.44438438,NaN
"Sonata No. 2 in G Minor, Op. 22 (Complete)",validation,2017,2017/MIDI-Unprocessed_073_PIANO073_MID--AUDIO-split_07-08-17_Piano-e_2-02_wav--4.midi,981.0261758539999,NaN
Corelli Var.Op42,validation,2006,2006/MIDI-Unprocessed_09_R1_2006_01-04_ORIG_MID--AUDIO_09_R1_2006_03_Track03_wav.midi,1103.90648156,NaN
Elegie in E-Flat Minor Op. 3,validation,2011,2011/MIDI-Unprocessed_12_R2_2011_MID--AUDIO_R2-D4_02_Track02_wav.midi,376.323074531,NaN
"Elegie in E-flat Minor, Op. 3 No. 1",validation,2013,2013/ORIG-MIDI_01_7_6_13_Group__MID--AUDIO_01_R1_2013_wav--3.midi,302.103063281,NaN
"Elegy Op. 3, No. 1",validation,2004,2004/MIDI-Unprocessed_SMF_16_R1_2004_01-08_ORIG_MID--AUDIO_16_R1_2004_03_Track03_wav.midi,321.43815431900003,NaN
Etude Tableaux Op. 39 No. 6 in A Minor,validation,2008,2008/MIDI-Unprocessed_09_R1_2008_01-05_ORIG_MID--AUDIO_09_R1_2008_wav--4.midi,153.79258125,NaN
Etude-Tableau Op. 39 No. 6 in A Minor,validation,2017,2017/MIDI-Unprocessed_049_PIANO049_MID--AUDIO-split_07-06-17_Piano-e_2-06_wav--4.midi,161.913736533,NaN
"Etude-Tableau, Op. 39 No. 6 in A Minor",validation,2011,2011/MIDI-Unprocessed_23_R1_2011_MID--AUDIO_R1-D9_05_Track05_wav.midi,154.993167656,NaN
Etude-Tableaux Op. 39 No. 6 in A Minor,validation,2008,2008/MIDI-Unprocessed_12_R1_2008_01-04_ORIG_MID--AUDIO_12_R1_2008_wav--3.midi,158.788569844,NaN
"Etude-Tableaux, Opus 33 No. 3 in C Minor",validation,2004,2004/MIDI-Unprocessed_SMF_02_R1_2004_01-05_ORIG_MID--AUDIO_02_R1_2004_06_Track06_wav.midi,267.43831361900004,NaN
Etudes-Tableaux Op. 33,validation,2018,2018/MIDI-Unprocessed_Recital5-7_MID--AUDIO_05_R1_2018_wav--3.midi,1355.37791813,NaN
"Humoresque Op. 10, No. 5",validation,2004,2004/MIDI-Unprocessed_SMF_16_R1_2004_01-08_ORIG_MID--AUDIO_16_R1_2004_04_Track04_wav.midi,217.92457079599998,NaN
Lilac,validation,2006,2006/MIDI-Unprocessed_12_R1_2006_01-08_ORIG_MID--AUDIO_12_R1_2006_03_Track03_wav.midi,138.394626563,NaN
"Polka de ""W.R.""",validation,2004,2004/MIDI-Unprocessed_SMF_16_R1_2004_01-08_ORIG_MID--AUDIO_16_R1_2004_06_Track06_wav.midi,235.444818256,NaN
Polka de W. R.,validation,2006,2006/MIDI-Unprocessed_12_R1_2006_01-08_ORIG_MID--AUDIO_12_R1_2006_04_Track04_wav.midi,199.615185,NaN
Polka de W.R.,validation,2004,2004/MIDI-Unprocessed_SMF_13_01_2004_01-05_ORIG_MID--AUDIO_13_R1_2004_12_Track12_wav.midi,243.356119704,NaN
Prelude Op. 3 No. 2 in C-sharp Minor,validation,2018,2018/MIDI-Unprocessed_Recital17-19_MID--AUDIO_19_R1_2018_wav--5.midi,239.852858438,NaN
Prelude Op. 32/5,validation,2006,2006/MIDI-Unprocessed_14_R1_2006_01-05_ORIG_MID--AUDIO_14_R1_2006_04_Track04_wav.midi,365.45770078099997,NaN
"Prelude in C-sharp Minor, Op. 3, No. 2",validation,2004,2004/MIDI-Unprocessed_SMF_16_R1_2004_01-08_ORIG_MID--AUDIO_16_R1_2004_02_Track02_wav.midi,231.917050885,NaN
"Sonata in C Major, K279",validation,2015,2015/MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_18_R1_2015_wav--3.midi,598.585416667,NaN
Sonata in F,validation,2006,2006/MIDI-Unprocessed_16_R1_2006_01-04_ORIG_MID--AUDIO_16_R1_2006_01_Track01_wav.midi,1075.48904203,NaN
"Sonata in F Major, K533",validation,2004,2004/MIDI-Unprocessed_SMF_12_01_2004_01-05_ORIG_MID--AUDIO_12_R1_2004_03_Track03_wav--1.midi,1139.19847773,NaN
"Sonata in F Major, K533/K494",validation,2018,2018/MIDI-Unprocessed_Recital17-19_MID--AUDIO_17_R1_2018_wav--3.midi,1068.75160219,NaN
